item_category,is_work,is_beach,is_swimming,is_surfing,is_camping,is_hiking,is_skiing,is_snowboarding,is_skating,is_formal,is_laundry,temperature,precipitation,duration,category_count,price_less_at_dest,importance_score
1,0,1,1,0,1,0,0,0,0,0,1,20,0,3,1,0,95
1,0,1,1,0,1,0,0,0,0,0,1,20,0,3,1,1,85
1,0,0,1,0,1,1,0,0,0,0,0,20,0,3,1,1,75
1,0,0,1,0,1,1,0,0,0,0,0,20,0,3,1,0,85
1,0,0,0,0,0,0,1,1,1,0,1,-10,1,2,5,1,5
1,0,0,0,0,0,0,1,1,1,0,1,-10,1,2,5,0,15
1,1,0,0,0,0,0,1,0,1,0,0,5,0.7,2,1,0,95
1,1,0,0,0,0,0,1,0,1,0,0,5,0.7,2,1,1,85
1,0,1,1,1,0,0,0,0,0,0,1,25,0,3,5,1,5
1,1,0,0,0,0,0,0,0,0,1,1,10,1,5,3,0,70
3,0,0,0,0,0,1,0,0,0,0,0,20,0,1,1,1,50
3,0,0,0,0,0,1,0,0,0,0,0,20,0,1,1,0,60
3,1,1,0,0,0,0,0,0,0,1,0,20,0,5,1,0,80
3,1,1,0,0,0,0,0,0,0,1,0,20,0,5,1,1,70
3,1,0,0,0,0,0,0,1,1,1,1,-5,0.5,2,4,1,5
3,1,0,0,0,0,0,0,1,1,1,1,-5,0.5,2,4,0,15
4,0,0,1,0,1,1,0,0,0,0,0,10,0.4,3,1,1,85
4,0,0,1,0,1,1,0,0,0,0,0,10,0.4,3,1,0,95
4,1,0,0,0,0,0,0,0,0,0,0,20,0,1,5,1,5
4,1,0,0,0,0,0,0,0,0,0,0,20,0,1,5,0,15
4,0,0,0,0,0,0,0,1,1,1,1,0,0,5,2,0,85
4,0,0,0,0,0,0,0,1,1,1,1,0,0,5,2,1,75
5,1,1,1,0,0,0,0,0,0,1,1,28,0.1,7,4,0,70
5,1,1,1,0,0,0,0,0,0,1,1,28,0.1,7,4,1,60
5,0,0,0,0,1,1,1,0,0,0,0,17,0,4,3,1,80
5,0,0,0,0,1,1,1,0,0,0,0,17,0,4,3,0,90
5,1,1,1,1,0,0,0,0,0,0,0,20,0,2,3,0,30
5,1,1,1,1,0,0,0,0,0,0,0,20,0,2,3,1,20
6,1,0,0,0,0,0,0,0,0,1,0,15,0.3,2,1,0,100
6,0,0,0,0,1,1,0,0,0,0,0,15,0,3,2,0,20
6,1,0,0,0,0,1,1,1,1,0,1,-10,0.1,3,2,1,100
2,1,1,1,1,0,0,0,0,0,0,1,20,1,3,1,1,85
2,1,1,1,1,0,0,0,0,0,0,1,20,1,3,1,0,95
2,1,0,0,0,0,0,0,1,0,1,0,-10,0.4,4,3,0,15
2,1,0,0,0,0,0,0,1,0,1,0,-10,0.4,4,3,1,5
2,0,0,1,0,1,1,0,0,0,0,0,15,0.1,7,3,0,85
2,0,0,1,0,1,1,0,0,0,0,0,15,0.1,7,3,1,75
7,0,1,1,1,0,0,0,0,0,0,0,30,0,4,1,0,0
7,0,1,1,1,0,0,0,0,0,0,0,30,0,4,1,0,0
7,1,0,0,0,0,0,1,0,0,1,0,-5,0.1,3,1,0,95
7,0,0,0,0,0,0,0,1,1,0,0,-10,0.8,4,2,1,80
6,1,0,0,0,0,0,0,0,0,1,0,10,0,7,1,0,100
6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3,3,0,0
6,1,0,0,0,0,1,0,0,0,0,1,14,0,5,1,0,100
6,1,0,0,0,1,0,0,0,0,0,0,9,0.9,4,1,0,100
6,0,1,1,1,1,1,0,0,0,0,0,25,0,6,1,1,0
6,0,0,0,0,0,0,0,1,1,0,0,-20,0.4,3,3,0,0
6,0,0,0,0,1,1,1,0,1,0,0,-20,0.5,3,1,1,0
6,0,1,1,0,0,0,0,0,0,0,0,28,0,2,1,0,0
6,1,1,1,1,0,0,0,0,0,1,0,20,1,5,1,0,100
6,1,0,0,0,0,1,0,0,0,1,1,10,0.1,7,2,1,95
6,1,0,1,0,0,0,1,0,0,1,0,-10,0.6,4,1,0,100
6,1,0,0,0,1,1,0,0,0,0,0,20,0.1,3,1,1,100
6,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100
6,1,0,0,0,0,0,0,0,0,1,0,18,0.9,4,1,0,100
6,0,0,0,0,0,0,0,1,1,0,0,-5,0,4,2,0,0
6,0,1,1,1,0,0,0,0,0,0,1,25,0,7,1,0,0
6,0,1,1,0,1,0,0,0,0,0,0,25,0.1,5,1,0,0
6,0,0,0,0,1,0,0,1,0,0,0,-20,0.5,3,1,0,0
6,1,0,0,0,1,0,0,1,0,0,0,-20,0.5,3,1,1,100
6,1,0,0,0,0,0,0,0,0,0,0,10,1,10,1,1,100
7,1,1,1,0,0,0,0,0,0,0,0,20,0,4,2,0,0
7,1,0,0,0,0,0,1,0,1,1,0,-10,0.5,4,1,0,100
7,0,0,0,0,0,0,1,0,1,0,0,-10,1,5,1,1,90
7,0,0,0,0,0,0,0,1,1,0,1,-15,0.1,7,1,0,100
7,0,0,1,0,0,0,1,0,0,1,0,-10,0,2,1,1,90
6,1,0,0,0,1,1,1,1,1,1,0,-15,1,2,1,0,100
